ID_SALES,negative,neutral,positive
HC4479A,0,3,0
HC4484A,0,1,3
HC4495A,1,1,1
HC4502A,2,0,1
HC4504A,0,1,2
HC450A,1,2,0
HC4513A,0,2,1
HC4519A,0,1,2
HC4522A,1,1,1
HC4532A,1,1,1
HC4533A,1,0,2
HC4542A,0,2,1
HC4557A,2,1,0
HC4563A,1,0,2
HC4564A,1,1,1
HC4574A,1,1,1
HC4584A,1,1,1
HC4591A,0,1,2
HC4599A,1,2,0
HC4620A,1,0,2
HC4625A,2,1,0
HC4635A,0,3,0
HC4638A,2,1,0
HC463A,0,1,2
HC4643A,1,0,2
HC464A,0,2,1
HC4651A,0,1,2
HC4653A,0,2,1
HC4679A,1,0,2
HC4681A,1,0,2
HC4682A,2,1,0
HC4689A,1,1,1
HC4692A,2,1,0
HC4693A,1,0,2
HC4697A,2,1,1
HC4702A,1,0,2
HC4709A,1,1,1
HC4717A,1,1,1
HC4718A,2,2,0
HC4728A,1,0,2
HC4736A,0,1,2
HC4752A,0,1,2
HC4769A,2,1,0
HC4782A,1,0,2
HC4787A,2,0,1
HC4791T,0,2,2
HC4801A,0,0,3
HC4805A,2,1,0
HC4810A,0,0,3
HC4822A,1,1,1
HC4828T,0,1,2
HC4829A,1,1,1
HC4839A,1,0,2
HC4849A,0,1,2
HC4850A,0,2,1
HC4882A,0,1,2
HC4887A,1,0,2
HC4898A,1,1,1
HC489A,0,0,3
HC48A,2,2,0
HC4907A,1,0,2
HC4910A,0,2,2
HC4911A,3,0,0
HC4926A,2,1,0
HC4951A,1,0,2
HC4964A,0,0,3
HC4975A,0,1,2
HC4988A,1,1,1
HC4A,0,1,2
HC5010A,0,2,1
HC513A,2,0,1
HC514A,1,1,1
HC531A,1,1,1
HC533A,0,1,2
HC540A,0,0,3
HC545A,1,0,2
HC547A,1,0,2
HC551A,0,0,3
HC555A,0,0,4
HC567A,1,2,0
HC574A,0,1,2
HC581A,1,1,1
HC601A,0,1,2
HC609A,0,0,3
HC620A,0,3,0
HC622A,0,1,2
HC63A,2,0,1
